GO:0000017,GO:0015759
GO:0000055,GO:0000056
GO:0000056,GO:0000055
GO:0000076,GO:0044774
GO:0000179,GO:0008988
GO:0000234,GO:0004603
GO:0000234,GO:0004608
GO:0000319,GO:0015111
GO:0000319,GO:0015116
GO:0000328,GO:0000330
GO:0000330,GO:0000328
GO:0000435,GO:0000432
GO:0000435,GO:0061429
GO:0000705,GO:0007141
GO:0000711,GO:0006311
GO:0000713,GO:0000708
GO:0000742,GO:0000744
GO:0000744,GO:0000742
GO:0000773,GO:0080101
GO:0001188,GO:0051123
GO:0001188,GO:0070898
GO:0001410,GO:0034301
GO:0001531,GO:0045517
GO:0001531,GO:0045518
GO:0001540,GO:0031626
GO:0001596,GO:0004945
GO:0001626,GO:0038048
GO:0001717,GO:0001720
GO:0001717,GO:0043688
GO:0001720,GO:0043685
GO:0001720,GO:0043688
GO:0001797,GO:0001798
GO:0001798,GO:0001797
GO:0001800,GO:0001801
GO:0001801,GO:0001800
GO:0001803,GO:0001810
GO:0001803,GO:0002892
GO:0001804,GO:0001805
GO:0001804,GO:0001811
GO:0001805,GO:0001804
GO:0001805,GO:0002894
GO:0001807,GO:0001803
GO:0001808,GO:0001804
GO:0001808,GO:0001809
GO:0001809,GO:0001808
GO:0001810,GO:0001803
GO:0001811,GO:0001804
GO:0001811,GO:0001812
GO:0001812,GO:0001811
GO:0001814,GO:0001815
GO:0001815,GO:0001814
GO:0001828,GO:0003382
GO:0001828,GO:0048667
GO:0001831,GO:0003382
GO:0001841,GO:0014020
GO:0001841,GO:0014021
GO:0001844,GO:0045040
GO:0001886,GO:0060672
GO:0001899,GO:0001900
GO:0001900,GO:0001899
GO:0001931,GO:0032059
GO:0001960,GO:0001961
GO:0001961,GO:0001960
GO:0001963,GO:0060012
GO:0001963,GO:0099155
GO:0002079,GO:0002081
GO:0002081,GO:0002079
GO:0002091,GO:0002092
GO:0002092,GO:0002091
GO:0002093,GO:0060116
GO:0002099,GO:0002101
GO:0002112,GO:0032003
GO:0002112,GO:0070748
GO:0002129,GO:0002132
GO:0002131,GO:0002132
GO:0002132,GO:0002131
GO:0002225,GO:0002785
GO:0002257,GO:0002258
GO:0002258,GO:0002257
GO:0002290,GO:0002287
GO:0002300,GO:0002301
GO:0002301,GO:0002300
GO:0002302,GO:0002294
GO:0002303,GO:0002293
GO:0002305,GO:0002306
GO:0002306,GO:0002305
GO:0002307,GO:0043367
GO:0002308,GO:0002307
GO:0002310,GO:0002311
GO:0002311,GO:0002310
GO:0002314,GO:0002315
GO:0002315,GO:0002319
GO:0002319,GO:0043379
GO:0002333,GO:0002334
GO:0002334,GO:0002333
GO:0002337,GO:0002338
GO:0002338,GO:0002337
GO:0002546,GO:0002547
GO:0002547,GO:0002546
GO:0002549,GO:0002550
GO:0002550,GO:0002549
GO:0002632,GO:0002633
GO:0002633,GO:0002632
GO:0002638,GO:0002639
GO:0002639,GO:0002638
GO:0002674,GO:0002675
GO:0002675,GO:0002674
GO:0002677,GO:0002678
GO:0002678,GO:0002677
GO:0002701,GO:0002702
GO:0002702,GO:0002701
GO:0002710,GO:0002713
GO:0002719,GO:0002720
GO:0002720,GO:0002719
GO:0002722,GO:0002723
GO:0002723,GO:0002722
GO:0002725,GO:0002726
GO:0002726,GO:0002725
GO:0002728,GO:0002729
GO:0002729,GO:0002728
GO:0002731,GO:0002732
GO:0002732,GO:0002731
GO:0002734,GO:0002735
GO:0002735,GO:0002734
GO:0002737,GO:0002738
GO:0002738,GO:0002737
GO:0002785,GO:0002225
GO:0002787,GO:0002803
GO:0002789,GO:0002804
GO:0002795,GO:0002796
GO:0002796,GO:0002795
GO:0002798,GO:0002799
GO:0002799,GO:0002798
GO:0002801,GO:0002802
GO:0002802,GO:0002801
GO:0002803,GO:0002787
GO:0002804,GO:0002789
GO:0002806,GO:0002807
GO:0002807,GO:0002806
GO:0002809,GO:0006963
GO:0002811,GO:0006967
GO:0002813,GO:0002816
GO:0002814,GO:0002817
GO:0002814,GO:0006964
GO:0002816,GO:0002813
GO:0002817,GO:0002814
GO:0002817,GO:0006965
GO:0002862,GO:0002863
GO:0002863,GO:0002862
GO:0002865,GO:0002866
GO:0002866,GO:0002865
GO:0002868,GO:0002869
GO:0002869,GO:0002868
GO:0002872,GO:0002873
