GO:0000310	GO:0004422
GO:0000410	GO:0045014
GO:0000411	GO:0046016
GO:0000430	GO:0000431
GO:0000838	GO:0000839
GO:0000905	GO:0000909
GO:0001002	GO:0001003
GO:0001006	GO:0001039
GO:0001016	GO:0001163
GO:0001018	GO:0001046
GO:0001019	GO:0001161
GO:0001532	GO:0030368
GO:0001532	GO:0045507
GO:0001540	GO:0031626
GO:0001596	GO:0004945
GO:0001626	GO:0038048
GO:0001793	GO:0019766
GO:0001793	GO:0019770
GO:0001794	GO:0001795
GO:0001828	GO:0003382
GO:0001844	GO:0045040
GO:0001857	GO:0004876
GO:0001858	GO:0001859
GO:0001858	GO:0004878
GO:0001859	GO:0001860
GO:0001859	GO:0004876
GO:0001860	GO:0004876
GO:0001861	GO:0004876
GO:0001987	GO:0002012
GO:0001987	GO:0002014
GO:0002025	GO:0003122
GO:0002079	GO:0002081
GO:0002081	GO:0002080
GO:0002083	GO:0047293
GO:0002114	GO:0030368
GO:0002357	GO:0002213
GO:0002439	GO:0002545
GO:0002464	GO:0002466
GO:0002558	GO:0002559
GO:0002933	GO:0030259
GO:0003042	GO:0003043
GO:0003246	GO:0003247
GO:0003879	GO:0052657
GO:0004048	GO:0106130
GO:0004610	GO:0008966
GO:0004775	GO:0004776
GO:0004905	GO:0034348
GO:0004909	GO:0004910
GO:0004914	GO:0030368
GO:0004915	GO:0030368
GO:0004917	GO:0030368
GO:0004919	GO:0030368
GO:0004919	GO:0045508
GO:0004920	GO:0042016
GO:0004921	GO:0030368
GO:0004933	GO:0004934
GO:0004933	GO:0036319
GO:0004962	GO:0004966
GO:0004967	GO:0004966
GO:0004971	GO:0004972
GO:0004983	GO:0042263
GO:0004985	GO:0008188
GO:0005052	GO:0005053
GO:0005222	GO:0005223
GO:0005747	GO:0005750
GO:0005960	GO:0030700
GO:0006174	GO:0006194
GO:0006174	GO:0061570
GO:0006192	GO:0061571
GO:0006620	GO:0006613
GO:0006850	GO:1990557
GO:0007073	GO:0007074
GO:0007073	GO:0007075
GO:0007074	GO:0007075
GO:0007079	GO:0016344
GO:0007107	GO:1902410
GO:0007252	GO:0016572
GO:0007485	GO:0007486
GO:0008089	GO:0008090
GO:0008412	GO:0047293
GO:0008507	GO:0015382
GO:0008520	GO:0017153
GO:0008674	GO:0008675
GO:0008674	GO:0047438
GO:0008675	GO:0061677
GO:0008700	GO:0043863
GO:0008922	GO:0031955
GO:0008922	GO:0031956
GO:0009342	GO:0031027
GO:0009375	GO:0016610
GO:0009627	GO:0009682
GO:0009778	GO:0009779
GO:0009801	GO:0009803
GO:0009970	GO:0010438
GO:0010226	GO:0010288
GO:0010263	GO:0010686
GO:0010263	GO:0019745
GO:0010272	GO:0046688
GO:0010272	GO:0070541
GO:0010323	GO:2001211
GO:0010352	GO:0098659
GO:0010452	GO:0051567
GO:0010793	GO:2000238
GO:0010881	GO:0014809
GO:0010999	GO:0060735
GO:0012507	GO:0012508
GO:0012507	GO:0012509
GO:0012508	GO:0012509
GO:0012510	GO:0012509
GO:0014723	GO:0014809
GO:0014729	GO:0014728
GO:0014852	GO:0014722
GO:0014852	GO:0014862
GO:0014861	GO:0100001
GO:0015227	GO:0015226
GO:0015361	GO:0015362
GO:0015374	GO:0005295
GO:0015390	GO:0005415
GO:0015504	GO:0015506
GO:0015702	GO:0015703
GO:0015706	GO:0015707
GO:0015708	GO:0098658
GO:0015792	GO:0042899
GO:0016099	GO:0016106
GO:0016264	GO:0120192
GO:0016345	GO:0016346
GO:0016493	GO:0016494
GO:0016496	GO:0016497
GO:0016517	GO:0030368
GO:0016539	GO:0030909
GO:0016558	GO:0045046
GO:0016612	GO:0016613
GO:0016867	GO:0016869
GO:0016878	GO:0016405
GO:0017133	GO:0045247
GO:0017146	GO:0032281
GO:0017153	GO:0140161
GO:0018012	GO:0019716
GO:0018013	GO:0035570
GO:0018014	GO:0046897
GO:0018015	GO:0046897
GO:0018020	GO:0018364
GO:0018023	GO:0018027
GO:0018026	GO:0018027
GO:0018106	GO:0090593
GO:0018229	GO:0018439
GO:0018439	GO:0042034
GO:0018857	GO:0018859
GO:0018857	GO:0018861
GO:0019440	GO:0019441
GO:0019440	GO:0019442
GO:0019569	GO:0019570
GO:0019571	GO:0019572
GO:0019573	GO:0019569
GO:0019625	GO:0019624
GO:0019766	GO:0019767
GO:0019766	GO:0019770
GO:0019767	GO:0019770
GO:0019778	GO:0019779
GO:0019918	GO:0019919
GO:0021960	GO:0021961
GO:0021975	GO:0021964
GO:0021975	GO:0021976
GO:0022003	GO:0022002
GO:0030107	GO:0030109
GO:0030107	GO:0030110
GO:0030109	GO:0030110
GO:0030539	GO:0030540
GO:0030944	GO:0045015
GO:0031088	GO:0031092
GO:0031240	GO:0009897
GO:0031671	GO:1990344
GO:0031955	GO:0031956
GO:0031957	GO:0031955
GO:0031957	GO:0031956
GO:0032025	GO:0046688
GO:0032025	GO:0070541
GO:0032026	GO:0035864
GO:0032065	GO:0072595
GO:0032258	GO:0120113
GO:0032455	GO:0030070
GO:0032473	GO:0010009
GO:0032473	GO:0098548
GO:0032500	GO:1900750
GO:0032968	GO:2001209
GO:0033370	GO:0033377
GO:0033387	GO:0033388
GO:0033488	GO:0033489
GO:0033488	GO:0033490
GO:0033489	GO:0033490
GO:0033498	GO:0033499
GO:0033524	GO:0033496
GO:0033539	GO:0033540
GO:0033541	GO:0033542
GO:0033543	GO:0033544
GO:0034223	GO:0034234
GO:0034329	GO:0045216
GO:0034529	GO:0034531
GO:0034529	GO:0034537
GO:0034704	GO:0034706
