GO:0000062,GO:1905502
GO:0000132,GO:0051296
GO:0000179,GO:0008988
GO:0000179,GO:0106142
GO:0000184,GO:0000291
GO:0000184,GO:0000294
GO:0000184,GO:0031086
GO:0000212,GO:0051225
GO:0000250,GO:0080011
GO:0000291,GO:0000184
GO:0000291,GO:0000294
GO:0000291,GO:0031086
GO:0000294,GO:0000184
GO:0000294,GO:0000291
GO:0000294,GO:0031086
GO:0000335,GO:0000336
GO:0000336,GO:0000335
GO:0000365,GO:0000380
GO:0000365,GO:0045292
GO:0000380,GO:0000365
GO:0000380,GO:0045292
GO:0000432,GO:0000435
GO:0000435,GO:0000432
GO:0000435,GO:0061414
GO:0000435,GO:0061429
GO:0000905,GO:0000909
GO:0000909,GO:0000905
GO:0001014,GO:0001015
GO:0001014,GO:0042796
GO:0001015,GO:0001014
GO:0001015,GO:0042795
GO:0001059,GO:0001060
GO:0001059,GO:0006360
GO:0001059,GO:0006383
GO:0001060,GO:0001059
GO:0001060,GO:0006360
GO:0001060,GO:0006383
GO:0001110,GO:0001111
GO:0001110,GO:0001182
GO:0001111,GO:0001110
GO:0001111,GO:0001182
GO:0001173,GO:0006352
GO:0001173,GO:0006353
GO:0001174,GO:0001175
GO:0001175,GO:0001174
GO:0001182,GO:0001110
GO:0001182,GO:0001111
GO:0001193,GO:0001195
GO:0001195,GO:0001193
GO:0001572,GO:0046476
GO:0001678,GO:0080144
GO:0001734,GO:0004482
GO:0001734,GO:0061953
GO:0001751,GO:0060219
GO:0001794,GO:0001795
GO:0001795,GO:0001794
GO:0001797,GO:0001798
GO:0001797,GO:0002894
GO:0001798,GO:0001797
GO:0001800,GO:0001801
GO:0001801,GO:0001800
GO:0001802,GO:0001806
GO:0001802,GO:0002445
GO:0001802,GO:0016068
GO:0001803,GO:0002892
GO:0001804,GO:0001805
GO:0001804,GO:0001808
GO:0001805,GO:0001804
GO:0001805,GO:0002894
GO:0001806,GO:0001802
GO:0001806,GO:0002445
GO:0001807,GO:0001810
GO:0001808,GO:0001804
GO:0001808,GO:0001809
GO:0001808,GO:0001811
GO:0001809,GO:0001805
GO:0001809,GO:0001808
GO:0001810,GO:0001807
GO:0001811,GO:0001808
GO:0001811,GO:0001812
GO:0001812,GO:0001809
GO:0001812,GO:0001811
GO:0001814,GO:0001815
GO:0001815,GO:0001814
GO:0001867,GO:0006957
GO:0001963,GO:0007271
GO:0001963,GO:0060012
GO:0001963,GO:0099155
GO:0002036,GO:1901034
GO:0002037,GO:0002038
GO:0002037,GO:1901035
GO:0002038,GO:0002037
GO:0002038,GO:1901036
GO:0002134,GO:0002135
GO:0002134,GO:1902249
GO:0002135,GO:0002134
GO:0002135,GO:0019002
GO:0002135,GO:1902249
GO:0002211,GO:0002212
GO:0002212,GO:0002211
GO:0002215,GO:0002242
GO:0002227,GO:0061760
GO:0002227,GO:0090714
GO:0002242,GO:0002215
GO:0002255,GO:0002353
GO:0002257,GO:0002258
GO:0002258,GO:0002257
GO:0002353,GO:0002255
GO:0002357,GO:0002209
GO:0002357,GO:0006968
GO:0002370,GO:0042267
GO:0002382,GO:0002529
GO:0002417,GO:0002745
GO:0002428,GO:0002495
GO:0002431,GO:0038093
GO:0002433,GO:0002429
GO:0002438,GO:0002439
GO:0002439,GO:0002545
GO:0002445,GO:0001802
GO:0002450,GO:0002457
GO:0002457,GO:0002450
GO:0002457,GO:0002471
GO:0002469,GO:0002470
GO:0002470,GO:0002469
GO:0002471,GO:0002450
GO:0002471,GO:0002457
GO:0002474,GO:0002428
GO:0002474,GO:0002495
GO:0002476,GO:0002477
GO:0002476,GO:0002491
GO:0002477,GO:0002476
GO:0002477,GO:0042590
GO:0002478,GO:0002483
GO:0002479,GO:0002480
GO:0002480,GO:0002479
GO:0002481,GO:0002482
GO:0002482,GO:0002481
GO:0002483,GO:0002478
GO:0002484,GO:0002487
GO:0002485,GO:0002486
GO:0002486,GO:0002485
GO:0002487,GO:0002484
GO:0002489,GO:0002490
GO:0002490,GO:0002489
GO:0002491,GO:0002476
GO:0002491,GO:0019886
GO:0002495,GO:0002428
GO:0002495,GO:0002474
GO:0002505,GO:0002495
GO:0002525,GO:0002438
GO:0002526,GO:0002437
GO:0002529,GO:0002382
GO:0002545,GO:0002439
GO:0002546,GO:0002547
GO:0002546,GO:0002549
GO:0002547,GO:0002546
GO:0002547,GO:0002550
GO:0002549,GO:0002546
GO:0002549,GO:0002550
GO:0002550,GO:0002547
GO:0002550,GO:0002549
GO:0002558,GO:0002559
GO:0002559,GO:0002558
GO:0002578,GO:0002579
GO:0002579,GO:0002578
GO:0002581,GO:0002582
GO:0002582,GO:0002581
GO:0002584,GO:0002585
GO:0002585,GO:0002584
GO:0002586,GO:0002589
GO:0002586,GO:0002595
GO:0002587,GO:0002588
GO:0002587,GO:0002590
GO:0002588,GO:0002587
GO:0002588,GO:0002591
GO:0002588,GO:0002597
GO:0002589,GO:0002586
GO:0002589,GO:0002595
GO:0002590,GO:0002587
GO:0002590,GO:0002591
GO:0002591,GO:0002588
GO:0002591,GO:0002590
GO:0002593,GO:0002594
GO:0002594,GO:0002593
GO:0002595,GO:0002586
GO:0002595,GO:0002589
GO:0002596,GO:0002590
GO:0002596,GO:0002597
GO:0002597,GO:0002588
GO:0002597,GO:0002591
GO:0002597,GO:0002596
GO:0002598,GO:0002595
GO:0002599,GO:0002600
GO:0002600,GO:0002597
GO:0002600,GO:0002599
GO:0002602,GO:0002582
GO:0002602,GO:0002603
GO:0002603,GO:0002602
