GO:0000247,GO:0004769
GO:0000410,GO:0045014
GO:0001014,GO:0001015
GO:0001014,GO:0042796
GO:0001015,GO:0001014
GO:0001015,GO:0042795
GO:0001059,GO:0001060
GO:0001059,GO:0006360
GO:0001059,GO:0006383
GO:0001060,GO:0001059
GO:0001060,GO:0006360
GO:0001060,GO:0006383
GO:0001110,GO:0001111
GO:0001110,GO:0001182
GO:0001111,GO:0001110
GO:0001111,GO:0001182
GO:0001173,GO:0006352
GO:0001173,GO:0006353
GO:0001174,GO:0001175
GO:0001175,GO:0001174
GO:0001182,GO:0001110
GO:0001182,GO:0001111
GO:0001193,GO:0001195
GO:0001195,GO:0001193
GO:0001542,GO:0001547
GO:0001543,GO:0001545
GO:0001543,GO:0001546
GO:0001543,GO:0001551
GO:0001544,GO:0001545
GO:0001544,GO:0001547
GO:0001546,GO:0001543
GO:0001546,GO:0001545
GO:0001546,GO:0001547
GO:0001547,GO:0001545
GO:0001551,GO:0001543
GO:0001551,GO:0001545
GO:0001551,GO:0001546
GO:0001867,GO:0006957
GO:0001867,GO:0006958
GO:0001883,GO:0032549
GO:0001905,GO:0001867
GO:0002006,GO:0002012
GO:0002006,GO:0002014
GO:0002012,GO:0002014
GO:0002014,GO:0002012
GO:0002273,GO:0043011
GO:0002402,GO:0002403
GO:0002403,GO:0002402
GO:0002425,GO:0002401
GO:0002491,GO:0019886
GO:0002505,GO:0002495
GO:0002546,GO:0002549
GO:0002549,GO:0002546
GO:0002553,GO:0002555
GO:0002555,GO:0002557
GO:0002557,GO:0002555
GO:0003003,GO:0003004
GO:0003003,GO:0003005
GO:0003004,GO:0003003
GO:0003004,GO:0003005
GO:0003005,GO:0003003
GO:0003005,GO:0003004
GO:0003023,GO:0003024
GO:0003024,GO:0003023
GO:0003042,GO:0003043
GO:0003043,GO:0003042
GO:0003321,GO:0003084
GO:0003337,GO:0061261
GO:0003839,GO:0061929
GO:0003941,GO:0004794
GO:0003941,GO:0008721
GO:0003941,GO:0050283
GO:0003958,GO:0015047
GO:0004018,GO:0070626
GO:0004165,GO:0051750
GO:0004397,GO:0008851
GO:0004397,GO:0045548
GO:0004397,GO:0052883
GO:0004452,GO:0050393
GO:0004476,GO:0043877
GO:0004667,GO:0008116
GO:0004667,GO:0050220
GO:0004751,GO:0043917
GO:0004769,GO:0047750
GO:0004794,GO:0003941
GO:0004794,GO:0008721
GO:0004794,GO:0045548
GO:0004807,GO:0008786
GO:0005289,GO:0097626
GO:0005347,GO:0015217
GO:0005347,GO:0080122
GO:0005457,GO:0005458
GO:0005458,GO:0005457
GO:0005459,GO:0005460
GO:0005459,GO:0005464
GO:0005460,GO:0005459
GO:0005460,GO:0005464
GO:0005461,GO:0005462
GO:0005461,GO:0005464
GO:0005462,GO:0005461
GO:0005462,GO:0005463
GO:0005463,GO:0005462
GO:0005463,GO:0140819
GO:0005464,GO:0005459
GO:0005464,GO:0005460
GO:0005635,GO:0009526
GO:0005722,GO:0005723
GO:0005722,GO:0033553
GO:0005723,GO:0005722
GO:0005723,GO:0033553
GO:0005725,GO:0005721
GO:0005725,GO:1990343
GO:0005740,GO:0009526
GO:0005985,GO:0046352
GO:0005988,GO:0046352
GO:0005995,GO:0000025
GO:0005999,GO:0033348
GO:0006120,GO:0006121
GO:0006120,GO:0006122
GO:0006120,GO:0006123
GO:0006121,GO:0006120
GO:0006121,GO:0006122
GO:0006121,GO:0006123
GO:0006122,GO:0006120
GO:0006122,GO:0006121
GO:0006122,GO:0006123
GO:0006123,GO:0006120
GO:0006123,GO:0006121
GO:0006123,GO:0006122
GO:0006196,GO:0006204
GO:0006201,GO:0006202
GO:0006201,GO:0006204
GO:0006202,GO:0006201
GO:0006249,GO:0046074
GO:0006352,GO:0006353
GO:0006352,GO:0097659
GO:0006353,GO:0006352
GO:0006354,GO:0006352
GO:0006354,GO:0097659
GO:0006360,GO:0001060
GO:0006360,GO:0006366
GO:0006360,GO:0006383
GO:0006361,GO:0006367
GO:0006361,GO:0006384
GO:0006362,GO:0006368
GO:0006362,GO:0006385
GO:0006363,GO:0006369
GO:0006363,GO:0006386
GO:0006366,GO:0006360
GO:0006366,GO:0006383
GO:0006367,GO:0006361
GO:0006367,GO:0006384
GO:0006368,GO:0006362
GO:0006369,GO:0006363
GO:0006369,GO:0006386
GO:0006383,GO:0001059
GO:0006383,GO:0006360
GO:0006383,GO:0006366
GO:0006384,GO:0006361
GO:0006384,GO:0006367
GO:0006385,GO:0006362
GO:0006385,GO:0006368
GO:0006385,GO:0006392
GO:0006386,GO:0006363
GO:0006386,GO:0006369
GO:0006391,GO:0006361
GO:0006391,GO:0006367
GO:0006392,GO:0006362
GO:0006392,GO:0006368
GO:0006392,GO:0006385
GO:0006393,GO:0006390
GO:0006405,GO:0051028
GO:0006406,GO:0097064
GO:0006407,GO:0006408
GO:0006407,GO:0061716
GO:0006408,GO:0006407
GO:0006408,GO:0061015
GO:0006474,GO:0006480
GO:0006480,GO:0006474
GO:0006498,GO:0018004
GO:0006499,GO:0006500
GO:0006500,GO:0006499
GO:0006539,GO:0019551
GO:0006539,GO:0019553
GO:0006540,GO:0019553
GO:0006855,GO:0046618
GO:0006855,GO:0061772
GO:0006880,GO:0006881
GO:0006881,GO:0006880
GO:0006957,GO:0001867
GO:0006957,GO:0006958
GO:0006958,GO:0001867
GO:0006958,GO:0006957
GO:0007161,GO:0016340
GO:0007380,GO:0035292
GO:0007381,GO:0007382
GO:0007381,GO:0042305
GO:0007382,GO:0007381
GO:0007382,GO:0042305
GO:0007383,GO:0007381
GO:0007383,GO:0035291
GO:0007384,GO:0007385
GO:0007385,GO:0007384
GO:0007603,GO:0007604
GO:0007603,GO:0009589
GO:0007604,GO:0007603
GO:0007633,GO:0008542
GO:0008089,GO:0008090
GO:0008090,GO:0008089
GO:0008116,GO:0004667
GO:0008116,GO:0050220
GO:0008320,GO:0140567
GO:0008521,GO:0015228
GO:0008566,GO:0008564
GO:0008704,GO:0034532
GO:0008721,GO:0003941
GO:0008721,GO:0008851
GO:0008733,GO:0008736
GO:0008733,GO:0008740
GO:0008733,GO:0008790
GO:0008736,GO:0008733
GO:0008736,GO:0008880
GO:0008740,GO:0008733
GO:0008740,GO:0008736
GO:0008786,GO:0004751
GO:0008786,GO:0043877
GO:0008786,GO:0050044
GO:0008790,GO:0008733
GO:0008797,GO:0004397
GO:0008797,GO:0008851
GO:0008797,GO:0045548
GO:0008838,GO:0008851
GO:0008838,GO:0050096
GO:0008851,GO:0008797
GO:0008851,GO:0050096
GO:0008880,GO:0008736
GO:0008942,GO:0050463
GO:0009045,GO:0050089
GO:0009060,GO:0009061
GO:0009301,GO:0009303
GO:0009301,GO:0009304
GO:0009302,GO:0009301
GO:0009303,GO:0009301
GO:0009303,GO:0009304
GO:0009304,GO:0009301
GO:0009304,GO:0009303
GO:0009411,GO:0071482
GO:0009585,GO:0007603
GO:0009585,GO:0007604
GO:0009585,GO:0009588
GO:0009588,GO:0007603
GO:0009588,GO:0007604
GO:0009588,GO:0009585
GO:0009589,GO:0009584
GO:0009590,GO:0050982
GO:0009637,GO:0009642
GO:0009638,GO:0042331
GO:0009639,GO:0009642
GO:0009645,GO:0009644
GO:0009645,GO:0055122
GO:0009703,GO:0050464
GO:0009906,GO:0009907
GO:0009907,GO:0009906
GO:0009941,GO:0031898
GO:0009941,GO:0033096
GO:0009977,GO:0015450
GO:0010018,GO:0010161
GO:0010114,GO:0010218
GO:0010117,GO:0042331
GO:0010161,GO:0010018
GO:0010202,GO:0010203
GO:0010203,GO:0009645
GO:0010203,GO:0010202
