GO:0000002,GO:0048311
GO:0000006,GO:0000007
GO:0000007,GO:0000006
GO:0000055,GO:0000056
GO:0000056,GO:0000055
GO:0000247,GO:0004769
GO:0000414,GO:0051570
GO:0000414,GO:0061085
GO:0000415,GO:0051573
GO:0000415,GO:0061086
GO:0001641,GO:0001642
GO:0001642,GO:0001641
GO:0001786,GO:0031210
GO:0001786,GO:1901611
GO:0001794,GO:0001795
GO:0001795,GO:0001794
GO:0001802,GO:0002445
GO:0001802,GO:0016068
GO:0001841,GO:0014020
GO:0001841,GO:0014021
GO:0001844,GO:0045039
GO:0001844,GO:0045040
GO:0001991,GO:0003086
GO:0001991,GO:0003101
GO:0001992,GO:0003081
GO:0001992,GO:0003100
GO:0002017,GO:0003081
GO:0002079,GO:0002081
GO:0002081,GO:0002079
GO:0002175,GO:0071205
GO:0002276,GO:0002280
GO:0002276,GO:0042117
GO:0002278,GO:0002283
GO:0002281,GO:0001774
GO:0002283,GO:0002278
GO:0002445,GO:0001802
GO:0002558,GO:0002559
GO:0002559,GO:0002558
GO:0002769,GO:0002770
GO:0002769,GO:0002771
GO:0002769,GO:0002773
GO:0002770,GO:0002769
GO:0002770,GO:0002773
GO:0002771,GO:0002769
GO:0002773,GO:0002769
GO:0002773,GO:0002770
GO:0002789,GO:0002804
GO:0002801,GO:0002802
GO:0002802,GO:0002801
GO:0002804,GO:0002789
GO:0002811,GO:0006967
GO:0002868,GO:0002869
GO:0002869,GO:0002868
GO:0002899,GO:0002900
GO:0002900,GO:0002899
GO:0002909,GO:0002910
GO:0002910,GO:0002909
GO:0003023,GO:0003024
GO:0003024,GO:0003023
GO:0003047,GO:0003048
GO:0003047,GO:0003070
GO:0003048,GO:0003047
GO:0003048,GO:0003070
GO:0003050,GO:0003048
GO:0003067,GO:0003070
GO:0003070,GO:0001990
GO:0003086,GO:0001991
GO:0003100,GO:0003070
GO:0003101,GO:0003047
GO:0003101,GO:0003048
GO:0003101,GO:0003050
GO:0003104,GO:0003105
GO:0003105,GO:0003104
GO:0003180,GO:0003181
GO:0003180,GO:0003182
GO:0003181,GO:0003182
GO:0003182,GO:0003181
GO:0003183,GO:0003185
GO:0003183,GO:0003186
GO:0003184,GO:0003180
GO:0003184,GO:0003181
GO:0003185,GO:0003181
GO:0003186,GO:0003183
GO:0003186,GO:0003185
GO:0003187,GO:0003181
GO:0003316,GO:0003412
GO:0003987,GO:0018858
GO:0003987,GO:0047760
GO:0004071,GO:0004356
GO:0004149,GO:0004742
GO:0004165,GO:0051750
GO:0004313,GO:0004314
GO:0004314,GO:0004313
GO:0004356,GO:0004071
GO:0004452,GO:0050393
GO:0004467,GO:0031955
GO:0004467,GO:0031956
GO:0004471,GO:0004473
GO:0004471,GO:0046554
GO:0004473,GO:0004471
GO:0004476,GO:0043877
GO:0004667,GO:0008116
GO:0004667,GO:0050220
GO:0004742,GO:0004149
GO:0004751,GO:0043917
GO:0004769,GO:0047750
GO:0004774,GO:0050218
GO:0004775,GO:0004776
GO:0004776,GO:0004775
GO:0004807,GO:0008786
GO:0004971,GO:0004972
GO:0004972,GO:0004971
GO:0005297,GO:0015493
GO:0005297,GO:0015506
GO:0005352,GO:0005351
GO:0005352,GO:0090448
GO:0005358,GO:0005359
GO:0005359,GO:0005358
GO:0005360,GO:0005359
GO:0005360,GO:0055055
GO:0005364,GO:0009679
GO:0005364,GO:0015528
GO:0005545,GO:1901981
GO:0005546,GO:0080025
GO:0005547,GO:0005546
GO:0005547,GO:0080025
GO:0005684,GO:0005689
GO:0005684,GO:0071020
GO:0005689,GO:0005684
GO:0006061,GO:0019526
GO:0006075,GO:0006078
GO:0006078,GO:0006075
GO:0006149,GO:0006161
GO:0006154,GO:0046086
GO:0006157,GO:0006149
GO:0006157,GO:0006161
GO:0006161,GO:0006149
GO:0006161,GO:0006157
GO:0006226,GO:0006227
GO:0006226,GO:0006229
GO:0006227,GO:0006226
GO:0006227,GO:0006229
GO:0006227,GO:0006242
GO:0006229,GO:0006226
GO:0006229,GO:0006227
GO:0006229,GO:0006242
GO:0006231,GO:0006233
GO:0006231,GO:0006242
GO:0006233,GO:0006231
GO:0006233,GO:0006242
GO:0006235,GO:0006233
GO:0006239,GO:0036198
GO:0006240,GO:0006233
GO:0006242,GO:0006227
GO:0006242,GO:0006229
GO:0006242,GO:0006233
GO:0006246,GO:0006251
GO:0006246,GO:0006253
GO:0006246,GO:0046074
GO:0006249,GO:0046064
GO:0006249,GO:0046074
GO:0006251,GO:0006253
GO:0006251,GO:0006257
GO:0006253,GO:0006251
GO:0006253,GO:0046081
GO:0006257,GO:0046079
GO:0006257,GO:0046081
GO:0006447,GO:0045948
GO:0006675,GO:0006676
GO:0006676,GO:0006675
GO:0006699,GO:0042368
GO:0006967,GO:0002811
GO:0007007,GO:0007008
GO:0007008,GO:0007007
GO:0007065,GO:0007066
GO:0007065,GO:0051760
GO:0007066,GO:0007065
GO:0007066,GO:0051760
GO:0007433,GO:0007434
GO:0007434,GO:0007433
GO:0007633,GO:0008542
GO:0008116,GO:0004667
GO:0008116,GO:0050220
GO:0008429,GO:0001786
GO:0008429,GO:1901611
GO:0008506,GO:0015366
GO:0008506,GO:0097434
GO:0008507,GO:0015378
GO:0008526,GO:0140343
GO:0008526,GO:1990050
GO:0008637,GO:0007006
GO:0008704,GO:0034532
GO:0008733,GO:0008736
GO:0008733,GO:0008740
GO:0008733,GO:0008790
GO:0008736,GO:0008733
GO:0008736,GO:0008880
GO:0008740,GO:0008733
GO:0008740,GO:0008736
GO:0008786,GO:0004751
GO:0008786,GO:0043877
GO:0008786,GO:0050044
GO:0008790,GO:0008733
GO:0008880,GO:0008736
GO:0008922,GO:0031955
GO:0008922,GO:0031956
GO:0008924,GO:0030060
GO:0008924,GO:0052589
GO:0009045,GO:0050089
GO:0009272,GO:0009832
GO:0009273,GO:0009272
GO:0009671,GO:0015387
GO:0009671,GO:0015506
GO:0009671,GO:0015531
GO:0009672,GO:0005274
GO:0009672,GO:0015366
GO:0009675,GO:0009676
GO:0009676,GO:0009675
GO:0009829,GO:0009830
GO:0009829,GO:0042547
GO:0009831,GO:1905588
GO:0009833,GO:0009834
GO:0009834,GO:0009833
GO:0009915,GO:0110127
GO:0009915,GO:0110128
GO:0009963,GO:0009964
GO:0009964,GO:0009963
GO:0009969,GO:0045492
GO:0010246,GO:0010399
GO:0010314,GO:0032266
GO:0010314,GO:0070273
GO:0010399,GO:0010400
GO:0010400,GO:0010399
GO:0010401,GO:0010402
GO:0010401,GO:0010403
GO:0010403,GO:0010401
GO:0010413,GO:0010416
GO:0010416,GO:0010413
GO:0010417,GO:0010414
GO:0010424,GO:0010425
GO:0010424,GO:0010426
GO:0010425,GO:0010424
GO:0010425,GO:0010426
GO:0010426,GO:0010424
GO:0010426,GO:0010425
GO:0010789,GO:0010790
GO:0010790,GO:0010789
GO:0010790,GO:0051754
GO:0010996,GO:0071260
GO:0010998,GO:0036496
GO:0010999,GO:0060735
GO:0012507,GO:0012508
GO:0012507,GO:0012509
GO:0012507,GO:0030660
GO:0012508,GO:0012507
GO:0012508,GO:0012509
GO:0012508,GO:0030660
GO:0012509,GO:0012507
GO:0012509,GO:0012508
GO:0012509,GO:0030660
GO:0012510,GO:0012507
GO:0012510,GO:0012509
GO:0014020,GO:0001841
GO:0014020,GO:0014021
GO:0014021,GO:0001841
GO:0014021,GO:0014020
GO:0014058,GO:1903295
GO:0014873,GO:0014876
GO:0014873,GO:0014877
GO:0014876,GO:0014873
GO:0014876,GO:0014877
GO:0014878,GO:0014873
GO:0014878,GO:0014877
GO:0014893,GO:0014894
GO:0014894,GO:0014893
GO:0015014,GO:0050652
GO:0015317,GO:0009671
GO:0015317,GO:0015506
GO:0015333,GO:0015506
GO:0015333,GO:0015650
GO:0015360,GO:0005280
GO:0015366,GO:0015533
GO:0015373,GO:0015377
GO:0015377,GO:0015373
GO:0015379,GO:0015378
GO:0015387,GO:0009671
GO:0015394,GO:0015650
GO:0015493,GO:0005297
GO:0015493,GO:0015506
GO:0015504,GO:0015506
GO:0015517,GO:0015528
GO:0015518,GO:0009679
GO:0015519,GO:0015532
GO:0015519,GO:0090448
GO:0015528,GO:0005364
GO:0015528,GO:0009679
GO:0015528,GO:0015650
GO:0015529,GO:0005364
GO:0015529,GO:0009679
GO:0015531,GO:0009671
GO:0015531,GO:0015506
GO:0015531,GO:0015650
GO:0015532,GO:0005351
GO:0015533,GO:0015366
GO:0015533,GO:0097434
GO:0015535,GO:0015518
GO:0015535,GO:0055053
GO:0015537,GO:0015394
GO:0015561,GO:0055053
GO:0015649,GO:0015532
GO:0015649,GO:0015540
GO:0015652,GO:0005351
GO:0015653,GO:0090448
GO:0015919,GO:0006625
GO:0016068,GO:0001802
GO:0016068,GO:0002445
GO:0016126,GO:0120178
GO:0016207,GO:0047541
GO:0016207,GO:0102637
GO:0016405,GO:0016878
GO:0016419,GO:0016418
GO:0016525,GO:0045766
GO:0016557,GO:0101025
GO:0016558,GO:0045046
GO:0016861,GO:0016863
GO:0016862,GO:0016861
GO:0016862,GO:0016863
GO:0016863,GO:0016861
GO:0016878,GO:0016405
GO:0016929,GO:0019784
GO:0016929,GO:0071567
GO:0017089,GO:0120015
GO:0017089,GO:0120016
GO:0018845,GO:0034528
GO:0018845,GO:0034532
GO:0018845,GO:0034536
