Node1	Node2
GO:0000014	GO:0004530
GO:0000014	GO:0004531
GO:0000014	GO:0008833
GO:0000014	GO:0009381
GO:0000014	GO:0015666
GO:0000014	GO:0016888
GO:0000014	GO:0017108
GO:0000014	GO:0033891
GO:0000014	GO:0033892
GO:0000014	GO:0043737
GO:0000014	GO:0043765
GO:0000014	GO:0044824
GO:0000014	GO:0048256
GO:0000014	GO:0048257
GO:0000014	GO:1990238
GO:0000070	GO:0007076
GO:0000070	GO:0045144
GO:0000070	GO:1990892
GO:0000070	GO:1990893
GO:0000080	GO:0051330
GO:0000084	GO:0051332
GO:0000085	GO:0051331
GO:0000087	GO:0051327
GO:0000087	GO:0051329
GO:0000091	GO:0000092
GO:0000122	GO:0000410
GO:0000122	GO:0010620
GO:0000122	GO:0010621
GO:0000122	GO:0010944
GO:0000122	GO:0016479
GO:0000122	GO:0016480
GO:0000122	GO:0031564
GO:0000122	GO:0032785
GO:0000122	GO:0045013
GO:0000122	GO:0045014
GO:0000122	GO:0045894
GO:0000122	GO:0060195
GO:0000122	GO:0060567
GO:0000122	GO:0090295
GO:0000122	GO:0140744
GO:0000122	GO:1902894
GO:0000122	GO:1903623
GO:0000122	GO:1904280
GO:0000122	GO:2000143
GO:0000171	GO:0000213
GO:0000171	GO:0004522
GO:0000171	GO:0004525
GO:0000171	GO:0004526
GO:0000171	GO:0008847
GO:0000171	GO:0033893
GO:0000171	GO:0033894
GO:0000171	GO:0033895
GO:0000171	GO:0033896
GO:0000171	GO:0033897
GO:0000171	GO:0033899
GO:0000171	GO:0033900
GO:0000171	GO:0033901
GO:0000171	GO:0043822
GO:0000175	GO:0004533
GO:0000175	GO:0033890
GO:0000182	GO:0003693
GO:0000182	GO:0035939
GO:0000182	GO:0071443
GO:0000213	GO:0004522
GO:0000213	GO:0008847
GO:0000213	GO:0033899
GO:0000213	GO:0033900
GO:0000213	GO:0033901
GO:0000237	GO:0000238
GO:0000237	GO:0000239
GO:0000237	GO:0000240
GO:0000237	GO:0000241
GO:0000238	GO:0000239
GO:0000238	GO:0000240
GO:0000238	GO:0000241
GO:0000239	GO:0000240
GO:0000239	GO:0000241
GO:0000240	GO:0000241
GO:0000279	GO:0000088
GO:0000279	GO:0000090
GO:0000279	GO:0000093
GO:0000279	GO:0044838
GO:0000279	GO:0051318
GO:0000279	GO:0051319
GO:0000279	GO:0051320
GO:0000279	GO:0051322
GO:0000279	GO:0051323
GO:0000279	GO:0051324
GO:0000279	GO:0051325
GO:0000279	GO:0051326
GO:0000279	GO:0051328
GO:0000279	GO:0051329
GO:0000282	GO:0001767
GO:0000282	GO:0045200
GO:0000328	GO:0000330
GO:0000328	GO:0034423
GO:0000328	GO:0036021
GO:0000328	GO:0043202
GO:0000328	GO:0120282
GO:0000330	GO:0034423
GO:0000330	GO:0036021
GO:0000330	GO:0043202
GO:0000330	GO:0120282
GO:0000410	GO:0045014
GO:0000437	GO:0000410
GO:0000437	GO:0017055
GO:0000437	GO:0045014
GO:0000437	GO:0060633
GO:0000437	GO:0120191
GO:0000437	GO:1905381
GO:0000437	GO:2000805
GO:0000506	GO:0005784
GO:0000506	GO:0005787
GO:0000506	GO:0008250
GO:0000506	GO:0016222
GO:0000506	GO:0017177
GO:0000506	GO:0031207
GO:0000506	GO:0031502
GO:0000506	GO:0032865
GO:0000506	GO:0032937
GO:0000506	GO:0034099
GO:0000506	GO:0036502
GO:0000506	GO:0036513
GO:0000506	GO:0042765
GO:0000506	GO:0042825
GO:0000506	GO:0043529
GO:0000506	GO:0043541
GO:0000506	GO:0061779
GO:0000506	GO:0070385
GO:0000506	GO:0070939
GO:0000506	GO:0071256
GO:0000506	GO:0071261
GO:0000506	GO:0072546
GO:0000506	GO:0106055
GO:0000506	GO:0120097
GO:0000506	GO:0160005
GO:0000506	GO:1990332
GO:0000506	GO:1990425
GO:0000506	GO:1990529
GO:0000506	GO:1990604
GO:0000506	GO:1990629
GO:0000514	GO:0001761
GO:0000514	GO:0005295
GO:0000514	GO:0005304
GO:0000514	GO:0015180
GO:0000514	GO:0015182
GO:0000514	GO:0015186
GO:0000514	GO:0015187
GO:0000514	GO:0015188
GO:0000514	GO:0015190
GO:0000514	GO:0015193
GO:0000514	GO:0015195
GO:0000514	GO:0015330
GO:0000514	GO:0015375
GO:0000514	GO:0015565
GO:0000514	GO:0015599
GO:0000514	GO:0015655
GO:0000514	GO:0022858
GO:0000514	GO:0033229
GO:0000514	GO:0033230
GO:0000514	GO:0042944
GO:0000514	GO:0042970
GO:0000514	GO:0070906
GO:0000514	GO:0140407
GO:0000514	GO:0140799
GO:0000514	GO:0140830
GO:0000514	GO:0140831
GO:0000514	GO:0140901
GO:0000514	GO:0140902
GO:0000514	GO:0140931
GO:0000705	GO:0007141
GO:0000705	GO:0007144
GO:0000707	GO:0000705
GO:0000707	GO:0000708
GO:0000707	GO:0000710
GO:0000707	GO:0000711
GO:0000707	GO:0000713
GO:0000707	GO:0000714
GO:0000707	GO:0006311
GO:0000707	GO:0007110
GO:0000707	GO:0007127
GO:0000707	GO:0007141
GO:0000707	GO:0007144
GO:0000707	GO:0030717
GO:0000707	GO:0061988
GO:0000707	GO:0061989
GO:0000708	GO:0000705
GO:0000708	GO:0000710
GO:0000708	GO:0000713
GO:0000708	GO:0000714
GO:0000708	GO:0006311
GO:0000708	GO:0007110
GO:0000708	GO:0007127
GO:0000708	GO:0007141
GO:0000708	GO:0007144
GO:0000708	GO:0030717
GO:0000708	GO:0061988
GO:0000708	GO:0061989
GO:0000710	GO:0000705
GO:0000710	GO:0000713
GO:0000710	GO:0000714
GO:0000710	GO:0006311
GO:0000710	GO:0007110
GO:0000710	GO:0007127
GO:0000710	GO:0007141
GO:0000710	GO:0007144
GO:0000710	GO:0030717
GO:0000710	GO:0061988
GO:0000710	GO:0061989
GO:0000711	GO:0000705
GO:0000711	GO:0000708
GO:0000711	GO:0000710
GO:0000711	GO:0000713
GO:0000711	GO:0000714
