GO:0000014	GO:1990238
GO:0000080	GO:0051330
GO:0000084	GO:0051332
GO:0000091	GO:0000092
GO:0000122	GO:0016479
GO:0000171	GO:0033894
GO:0000182	GO:0071443
GO:0000237	GO:0000238
GO:0000237	GO:0000240
GO:0000238	GO:0000240
GO:0000328	GO:0000330
GO:0000410	GO:0045014
GO:0000506	GO:0031502
GO:0000506	GO:0120097
GO:0000514	GO:0140407
GO:0000705	GO:0007141
GO:0000707	GO:0000711
GO:0000758	GO:0000752
GO:0000830	GO:0000831
GO:0000830	GO:0000832
GO:0000830	GO:0052724
GO:0000831	GO:0000832
GO:0000831	GO:0052724
GO:0000832	GO:0052724
GO:0000833	GO:0000834
GO:0000833	GO:0033200
GO:0000833	GO:0033857
GO:0000834	GO:0033857
GO:0000836	GO:0000837
GO:0000837	GO:1990389
GO:0000838	GO:0000839
GO:0000977	GO:0000987
GO:0000979	GO:0001164
GO:0001002	GO:0001003
GO:0001002	GO:0001006
GO:0001003	GO:0001006
GO:0001003	GO:0001039
GO:0001006	GO:0001039
GO:0001014	GO:0042796
GO:0001014	GO:0042797
GO:0001015	GO:0001014
GO:0001015	GO:0042795
GO:0001019	GO:0001147
GO:0001019	GO:0001161
GO:0001025	GO:0001091
GO:0001025	GO:0001179
GO:0001059	GO:0006360
GO:0001059	GO:0006366
GO:0001059	GO:0006383
GO:0001060	GO:0006360
GO:0001060	GO:0006366
GO:0001091	GO:0001179
GO:0001092	GO:0001094
GO:0001092	GO:0001095
GO:0001092	GO:0001096
GO:0001094	GO:0001095
GO:0001094	GO:0001096
GO:0001094	GO:0001097
GO:0001095	GO:0001096
GO:0001110	GO:0001111
GO:0001110	GO:0001182
GO:0001111	GO:0001182
GO:0001154	GO:0001155
GO:0001154	GO:0001156
GO:0001162	GO:0000979
GO:0001164	GO:0001165
GO:0001172	GO:0006351
GO:0001174	GO:0001175
GO:0001188	GO:0051123
GO:0001188	GO:0070898
GO:0001193	GO:0001195
GO:0001222	GO:0001223
GO:0001401	GO:0140595
GO:0001401	GO:0140596
GO:0001410	GO:0034300
GO:0001410	GO:0034301
GO:0001410	GO:0034303
GO:0001515	GO:0005186
GO:0001572	GO:1990387
GO:0001574	GO:0001572
GO:0001574	GO:0046476
GO:0001692	GO:0030417
GO:0001695	GO:0046336
GO:0001777	GO:0046633
GO:0001794	GO:0001795
GO:0001802	GO:0001795
GO:0001802	GO:0002445
GO:0001802	GO:0016068
GO:0001806	GO:0001802
GO:0001806	GO:0002445
GO:0001806	GO:0016068
GO:0001963	GO:0060012
GO:0001963	GO:0099153
GO:0001963	GO:0099155
GO:0001984	GO:0002527
GO:0001987	GO:0002012
GO:0001987	GO:0002014
GO:0001990	GO:0003070
GO:0001992	GO:0003081
GO:0001994	GO:0001998
GO:0001999	GO:0003072
GO:0001999	GO:0003075
GO:0002014	GO:0002006
GO:0002017	GO:0002016
GO:0002025	GO:0002033
GO:0002025	GO:0003069
GO:0002033	GO:0003069
GO:0002050	GO:0042865
GO:0002187	GO:0017087
GO:0002222	GO:0002223
GO:0002233	GO:0002232
GO:0002294	GO:0002302
GO:0002302	GO:0002307
GO:0002303	GO:0002311
GO:0002305	GO:0002306
GO:0002307	GO:0002300
GO:0002308	GO:0002300
GO:0002308	GO:0002307
GO:0002369	GO:0002368
GO:0002403	GO:0002402
GO:0002408	GO:0002410
GO:0002456	GO:0019724
GO:0002458	GO:0002451
GO:0002459	GO:0002460
GO:0002459	GO:0090719
GO:0002463	GO:0002464
GO:0002464	GO:0002466
GO:0002522	GO:0002523
GO:0002528	GO:1990185
GO:0002548	GO:0048247
GO:0002548	GO:0071621
GO:0002551	GO:0048247
GO:0002555	GO:0002557
GO:0002558	GO:0002559
GO:0002752	GO:0140894
GO:0002754	GO:0140894
GO:0002755	GO:0002756
GO:0002904	GO:0070234
GO:0002935	GO:0160105
GO:0002935	GO:0160106
GO:0002935	GO:0160107
GO:0003023	GO:0003024
GO:0003042	GO:0003043
GO:0003047	GO:0003048
GO:0003048	GO:0003070
GO:0003049	GO:0003046
GO:0003050	GO:0003081
GO:0003050	GO:0003086
GO:0003086	GO:0002016
GO:0003101	GO:0002017
GO:0003101	GO:0003081
GO:0003104	GO:0003105
GO:0003115	GO:0003116
GO:0003117	GO:0003118
GO:0003121	GO:0003122
GO:0003351	GO:0060294
GO:0003412	GO:0003316
GO:0003942	GO:0043870
GO:0003954	GO:0003958
GO:0003954	GO:0003959
GO:0003958	GO:0015047
GO:0003960	GO:0103036
GO:0003987	GO:0030729
GO:0003987	GO:0050203
GO:0004017	GO:0004798
GO:0004028	GO:0018483
GO:0004029	GO:0033721
GO:0004043	GO:0033722
GO:0004043	GO:0047102
GO:0004073	GO:0004350
GO:0004073	GO:0047102
GO:0004127	GO:0120136
GO:0004136	GO:0004137
GO:0004136	GO:0004138
GO:0004137	GO:0004138
GO:0004139	GO:0050014
GO:0004139	GO:0050352
GO:0004146	GO:0050241
GO:0004146	GO:0071172
GO:0004332	GO:0061609
GO:0004350	GO:0047102
GO:0004365	GO:0047100
GO:0004385	GO:0004798
GO:0004467	GO:0031955
GO:0004487	GO:0004488
GO:0004491	GO:0047110
GO:0004519	GO:0004527
GO:0004520	GO:0004529
GO:0004525	GO:0033893
GO:0004525	GO:0033896
GO:0004530	GO:0043737
GO:0004533	GO:0033890
GO:0004534	GO:0000175
GO:0004536	GO:0004519
GO:0004540	GO:0004519
GO:0004549	GO:0033902
GO:0004550	GO:0050145
