GO:0001080	GO:0001081
GO:0010516	GO:0140256
GO:0031158	GO:0031159
GO:0031286	GO:0031287
GO:0032096	GO:0032097
GO:0032099	GO:0032100
GO:0032108	GO:0032109
GO:0045847	GO:0045848
GO:0045882	GO:0045883
GO:0045883	GO:0045848
GO:0060905	GO:0006792
GO:0070563	GO:0070564
GO:0110014	GO:0110013
GO:0140256	GO:0080040
GO:1901966	GO:0140255
GO:1901966	GO:1903832
GO:1901967	GO:0140256
GO:1901967	GO:1903574
GO:1903574	GO:0140256
GO:1903574	GO:1903833
GO:1903832	GO:0140255
GO:1903833	GO:0080040
GO:2000140	GO:2000141
GO:2001249	GO:2001250
