Node1	Node2
GO:0001929	GO:0043301
GO:0001929	GO:1903542
GO:0010809	GO:0001929
GO:0017158	GO:0043300
GO:0017158	GO:0043304
GO:0017158	GO:0043309
GO:0017158	GO:0043313
GO:0017158	GO:1903581
GO:0017158	GO:2000300
GO:0031631	GO:0010809
GO:0031631	GO:1903234
GO:0035895	GO:0043305
GO:0035895	GO:0043306
GO:0035896	GO:1903595
GO:0043301	GO:0043302
GO:0043301	GO:0043304
GO:0043301	GO:0043309
GO:0043301	GO:0043311
GO:0043301	GO:0043313
GO:0043301	GO:0043315
GO:0043301	GO:1903581
GO:0043301	GO:1903583
GO:0043302	GO:0043304
GO:0043302	GO:0043309
GO:0043302	GO:0043313
GO:0043302	GO:1903581
GO:0043304	GO:0043309
GO:0043304	GO:0043313
GO:0043304	GO:1903581
GO:0043305	GO:0043306
GO:0043305	GO:0043310
GO:0043305	GO:0043314
GO:0043305	GO:1903582
GO:0043306	GO:0043311
GO:0043306	GO:0043315
GO:0043306	GO:1903583
GO:0043309	GO:0043313
GO:0043309	GO:1903581
GO:0043310	GO:0043311
GO:0043310	GO:0043314
GO:0043310	GO:1903582
GO:0043311	GO:0043315
GO:0043311	GO:1903583
GO:0043313	GO:1903581
GO:0043314	GO:0043315
GO:0043314	GO:1903582
GO:0043315	GO:1903583
GO:0043317	GO:0043301
GO:0043317	GO:0043302
GO:0043317	GO:0043304
GO:0043317	GO:0043309
GO:0043317	GO:0043313
GO:0043317	GO:0043321
GO:0043317	GO:1903581
GO:0043318	GO:0043305
GO:0043318	GO:0043310
GO:0043318	GO:0043314
GO:0043318	GO:0043319
GO:0043318	GO:0043322
GO:0043318	GO:1903582
GO:0043319	GO:0043306
GO:0043319	GO:0043311
GO:0043319	GO:0043315
GO:0043319	GO:0043323
GO:0043319	GO:1903583
GO:0043321	GO:0043301
GO:0043321	GO:0043302
GO:0043321	GO:0043304
GO:0043321	GO:0043309
GO:0043321	GO:0043313
GO:0043321	GO:1903581
GO:0043322	GO:0043305
GO:0043322	GO:0043310
GO:0043322	GO:0043314
GO:0043322	GO:0043323
GO:0043322	GO:1903582
GO:0043323	GO:0043306
GO:0043323	GO:0043311
GO:0043323	GO:0043315
GO:0043323	GO:1903583
GO:0045920	GO:0043300
GO:0045920	GO:0045921
GO:0045920	GO:1903541
GO:0045921	GO:0043300
GO:0045921	GO:1903541
GO:0045955	GO:0010809
GO:0045955	GO:0043301
GO:0045955	GO:0045956
GO:0045955	GO:1905413
GO:0045955	GO:2000301
GO:0045955	GO:2000367
GO:0045955	GO:2000368
GO:0045956	GO:0043302
GO:0045956	GO:1905413
GO:0045956	GO:2000302
GO:0045956	GO:2000367
GO:0060472	GO:1903235
GO:0060472	GO:1905415
GO:0060472	GO:2000368
GO:0099145	GO:0017158
GO:0099145	GO:0043300
GO:0099145	GO:0045920
GO:0099145	GO:0045921
GO:0099145	GO:1903305
GO:0099145	GO:1903433
GO:0099145	GO:1903541
GO:0099145	GO:2000300
GO:0099161	GO:0150044
GO:0099703	GO:0099161
GO:0099703	GO:1903235
GO:1903233	GO:0045955
GO:1903233	GO:0045956
GO:1903233	GO:0150044
GO:1903233	GO:1905413
GO:1903233	GO:2000301
GO:1903233	GO:2000302
GO:1903233	GO:2000367
GO:1903234	GO:0010809
GO:1903234	GO:0099161
GO:1903234	GO:1903235
GO:1903234	GO:1905414
GO:1903235	GO:0099161
GO:1903235	GO:1905415
GO:1903235	GO:2000368
GO:1903305	GO:0045920
GO:1903305	GO:0045921
GO:1903305	GO:1903433
GO:1903305	GO:1903541
GO:1903306	GO:0001929
GO:1903306	GO:0017158
GO:1903306	GO:0043300
GO:1903306	GO:0043302
GO:1903306	GO:0043304
GO:1903306	GO:0043309
GO:1903306	GO:0043313
GO:1903306	GO:0043317
GO:1903306	GO:0043321
GO:1903306	GO:0045956
GO:1903306	GO:1903307
GO:1903306	GO:1903434
GO:1903306	GO:1903542
GO:1903306	GO:1903581
GO:1903306	GO:1905413
GO:1903306	GO:2000300
GO:1903306	GO:2000302
GO:1903306	GO:2000367
GO:1903307	GO:0017158
GO:1903307	GO:0043300
GO:1903307	GO:0043304
GO:1903307	GO:0043309
GO:1903307	GO:0043313
GO:1903307	GO:0043317
GO:1903307	GO:0043321
GO:1903307	GO:1903435
GO:1903307	GO:1903543
GO:1903307	GO:1903581
GO:1903307	GO:1905413
GO:1903307	GO:2000300
GO:1903307	GO:2000367
GO:1903433	GO:0045920
GO:1903433	GO:0045921
GO:1903433	GO:1903541
GO:1903434	GO:0001929
GO:1903434	GO:1903435
GO:1903434	GO:1903542
GO:1903435	GO:1903543
GO:1903542	GO:1903543
GO:1903582	GO:1903583
GO:1905413	GO:2000367
GO:1905414	GO:0099161
GO:1905414	GO:0150044
GO:1905414	GO:1905415
GO:1905415	GO:0099161
GO:1905415	GO:0150044
GO:1905415	GO:2000368
GO:2000300	GO:0043300
GO:2000301	GO:0043301
GO:2000301	GO:2000302
GO:2000302	GO:0043302
