Node1	Node2
GO:0000027	GO:0000028
GO:0000027	GO:0000244
GO:0000027	GO:0000245
GO:0000027	GO:0000348
GO:0000027	GO:0000387
GO:0000027	GO:0000389
GO:0000027	GO:0000395
GO:0000027	GO:0000492
GO:0000027	GO:0000493
GO:0000027	GO:0006376
GO:0000027	GO:0034462
GO:0000027	GO:0034463
GO:0000027	GO:0070922
GO:0000027	GO:1903241
GO:0000027	GO:1904802
GO:0000027	GO:1905323
GO:0000028	GO:0000244
GO:0000028	GO:0000245
GO:0000028	GO:0000348
GO:0000028	GO:0000387
GO:0000028	GO:0000389
GO:0000028	GO:0000395
GO:0000028	GO:0000492
GO:0000028	GO:0000493
GO:0000028	GO:0006376
GO:0000028	GO:0034462
GO:0000028	GO:0034463
GO:0000028	GO:0070922
GO:0000028	GO:1903241
GO:0000028	GO:1904802
GO:0000028	GO:1905323
GO:0000062	GO:0120226
GO:0000062	GO:1905502
GO:0000070	GO:0007076
GO:0000070	GO:0045144
GO:0000070	GO:1990892
GO:0000070	GO:1990893
GO:0000075	GO:0000077
GO:0000076	GO:0000077
GO:0000079	GO:0043405
GO:0000079	GO:0043506
GO:0000079	GO:1900019
GO:0000079	GO:1902947
GO:0000079	GO:2000298
GO:0000079	GO:2000479
GO:0000098	GO:0006751
GO:0000098	GO:0009230
GO:0000098	GO:0015938
GO:0000098	GO:0016145
GO:0000098	GO:0018896
GO:0000098	GO:0019339
GO:0000098	GO:0019448
GO:0000098	GO:0019510
GO:0000098	GO:0019529
GO:0000098	GO:0019681
GO:0000098	GO:0019762
GO:0000098	GO:0030200
GO:0000098	GO:0030207
GO:0000098	GO:0032323
GO:0000098	GO:0036113
GO:0000098	GO:0036114
GO:0000098	GO:0036115
GO:0000098	GO:0036116
GO:0000098	GO:0042317
GO:0000098	GO:0042358
GO:0000098	GO:0042367
GO:0000098	GO:0042725
GO:0000098	GO:0042865
GO:0000098	GO:0044580
GO:0000098	GO:0046207
GO:0000098	GO:0046230
GO:0000098	GO:0046265
GO:0000098	GO:0046269
GO:0000098	GO:0046306
GO:0000098	GO:0046356
GO:0000098	GO:0050843
GO:0000098	GO:0061721
GO:0000098	GO:0061722
GO:0000098	GO:1901087
GO:0000098	GO:1901117
GO:0000098	GO:1901267
GO:0000098	GO:1901289
GO:0000098	GO:1901686
GO:0000098	GO:1901749
GO:0000098	GO:1901773
GO:0000098	GO:1901788
GO:0000098	GO:1901886
GO:0000098	GO:1902087
GO:0000098	GO:1902190
GO:0000098	GO:1902193
GO:0000098	GO:1902196
GO:0000098	GO:1902199
GO:0000098	GO:1902777
GO:0000098	GO:1902859
GO:0000098	GO:2001294
GO:0000098	GO:2001309
GO:0000122	GO:0000410
GO:0000122	GO:0010620
GO:0000122	GO:0010621
GO:0000122	GO:0010944
GO:0000122	GO:0016479
GO:0000122	GO:0016480
GO:0000122	GO:0031564
GO:0000122	GO:0032785
GO:0000122	GO:0045013
GO:0000122	GO:0045014
GO:0000122	GO:0045894
GO:0000122	GO:0060195
GO:0000122	GO:0060567
GO:0000122	GO:0090295
GO:0000122	GO:0140744
GO:0000122	GO:1902894
GO:0000122	GO:1904280
GO:0000122	GO:2000143
GO:0000166	GO:0005524
GO:0000166	GO:0005525
GO:0000166	GO:1901640
GO:0000166	GO:1901641
GO:0000179	GO:0000234
GO:0000179	GO:0000773
GO:0000179	GO:0004603
GO:0000179	GO:0004608
GO:0000179	GO:0008112
GO:0000179	GO:0008938
GO:0000179	GO:0008988
GO:0000179	GO:0008989
GO:0000179	GO:0008990
GO:0000179	GO:0016273
GO:0000179	GO:0016274
GO:0000179	GO:0016278
GO:0000179	GO:0016279
GO:0000179	GO:0016430
GO:0000179	GO:0017174
GO:0000179	GO:0018064
GO:0000179	GO:0036009
GO:0000179	GO:0046539
GO:0000179	GO:0047147
GO:0000179	GO:0047148
GO:0000179	GO:0052729
GO:0000179	GO:0052730
GO:0000179	GO:0070042
GO:0000179	GO:0070043
GO:0000179	GO:0071424
GO:0000179	GO:0106370
GO:0000179	GO:0160101
GO:0000179	GO:0160102
GO:0000179	GO:0160103
GO:0000179	GO:0160104
GO:0000179	GO:0160117
GO:0000179	GO:0160118
GO:0000182	GO:0003693
GO:0000182	GO:0035939
GO:0000182	GO:0071443
GO:0000234	GO:0000773
GO:0000234	GO:0004603
GO:0000234	GO:0004608
GO:0000234	GO:0008112
GO:0000234	GO:0008938
GO:0000234	GO:0008988
GO:0000234	GO:0008989
GO:0000234	GO:0008990
GO:0000234	GO:0016273
GO:0000234	GO:0016274
GO:0000234	GO:0016278
GO:0000234	GO:0016279
GO:0000234	GO:0016430
GO:0000234	GO:0017174
GO:0000234	GO:0018064
GO:0000234	GO:0036009
GO:0000234	GO:0046539
GO:0000234	GO:0047147
GO:0000234	GO:0047148
GO:0000234	GO:0052729
GO:0000234	GO:0052730
GO:0000234	GO:0070042
GO:0000234	GO:0070043
GO:0000234	GO:0071424
GO:0000234	GO:0106370
GO:0000234	GO:0160101
GO:0000234	GO:0160102
GO:0000234	GO:0160103
GO:0000234	GO:0160104
GO:0000234	GO:0160117
GO:0000234	GO:0160118
GO:0000245	GO:0000387
GO:0000245	GO:0034462
GO:0000245	GO:0034463
GO:0000245	GO:0070922
GO:0000245	GO:1904802
GO:0000247	GO:0004165
GO:0000247	GO:0004167
GO:0000247	GO:0004452
GO:0000247	GO:0004769
GO:0000247	GO:0008704
GO:0000247	GO:0016159
GO:0000247	GO:0034017
GO:0000247	GO:0047614
GO:0000247	GO:0047750
GO:0000247	GO:0050008
GO:0000247	GO:0050100
GO:0000247	GO:0050219
GO:0000247	GO:0050393
GO:0000247	GO:0051750
GO:0000247	GO:0102943
GO:0000247	GO:0106417
GO:0000277	GO:0018025
GO:0000277	GO:0031151
GO:0000277	GO:0042799
GO:0000277	GO:0042800
GO:0000277	GO:0046974
GO:0000277	GO:0046975
GO:0000277	GO:0046976
