GO_1	GO_2	GO_1_Depth	GO_1_Leaf_Distance	GO_2_Depth	GO_2_Leaf_Distance	GO_1_to_GO_2_Hops_Undirected
GO:0061709	GO:0016236	6	0	4	2	2
GO:0048667	GO:0000902	5	1	3	1	2
GO:0005324	GO:0015245	3	1	3	1	2
GO:0098792	GO:0016236	6	0	4	2	2
GO:0009308	GO:0008152	4	1	1	1	3
GO:0043468	GO:0043470	5	0	5	2	2
GO:0140791	GO:0140789	6	0	4	2	2
GO:0010130	GO:0018915	6	0	4	2	2
GO:0019670	GO:0006538	5	1	5	1	4
GO:1904216	GO:0051222	6	0	5	1	2
GO:0061611	GO:0006002	6	0	4	1	6
GO:0015501	GO:0005343	4	1	4	1	2
GO:0085034	GO:0085032	6	0	5	1	3
GO:0006984	GO:0035556	3	1	3	1	2
GO:2000013	GO:0000821	7	0	7	2	2
GO:0047934	GO:0047936	5	0	5	0	2
GO:1990760	GO:0022836	3	0	5	1	2
GO:0001637	GO:0004930	5	2	4	1	2
GO:0052817	GO:0047617	8	0	6	1	2
GO:0052675	GO:0046568	7	0	6	0	5
GO:0098864	GO:0098865	7	1	8	0	1
GO:0019654	GO:0006113	4	1	5	1	2
GO:1900750	GO:0033218	4	1	2	1	2
GO:0070930	GO:0043686	5	0	5	1	2
GO:0005340	GO:0015932	5	0	3	2	2
GO:0061738	GO:0016237	4	0	4	1	2
GO:0075528	GO:0019049	3	1	4	1	2
GO:0003950	GO:1990404	5	0	3	1	2
GO:0004348	GO:0017042	5	0	5	0	2
GO:1904215	GO:0051223	5	1	5	1	3
GO:0004336	GO:0017042	5	0	5	0	2
GO:0070431	GO:0035872	6	0	4	2	2
GO:0061959	GO:1901698	5	0	3	1	2
GO:0015657	GO:0005343	6	0	4	1	2
GO:0098849	GO:0140961	3	0	3	0	2
GO:0060360	GO:1905533	8	0	6	2	2
GO:0010019	GO:0035556	3	0	3	1	2
GO:0034586	GO:0006401	7	0	5	1	2
GO:0140965	GO:0034587	9	0	9	0	2
GO:1904423	GO:0032476	4	0	4	1	2
GO:0051009	GO:0003961	4	0	4	0	6
GO:0070592	GO:0000271	6	1	5	1	2
GO:1903801	GO:0089718	6	0	4	1	2
GO:0052001	GO:0044650	5	0	5	1	2
GO:0070427	GO:0035872	6	0	4	2	2
GO:0045252	GO:0045239	4	1	3	2	2
GO:0050764	GO:0030100	5	2	5	1	2
GO:0044302	GO:0097457	6	1	7	0	1
GO:0017177	GO:1902687	3	0	3	1	2
GO:0015655	GO:0005343	6	1	4	1	2
GO:0006909	GO:0006897	5	2	5	1	2
GO:0043463	GO:0043470	5	0	5	2	2
GO:0047977	GO:0004301	5	0	5	1	2
GO:0085017	GO:0046718	6	0	6	1	2
GO:0070918	GO:0006396	8	1	6	2	2
GO:1901606	GO:0009063	5	1	4	1	2
GO:0010904	GO:0043470	6	1	5	2	2
GO:0006879	GO:0098771	5	2	3	1	2
GO:1990880	GO:0140961	3	0	3	0	2
GO:0061724	GO:0016236	6	0	4	2	2
GO:0006409	GO:0006405	6	1	5	1	2
GO:0039521	GO:0039519	4	0	4	2	2
GO:0010312	GO:0061687	2	0	2	1	2
GO:0042450	GO:0006525	6	0	6	1	2
GO:0009300	GO:0006351	8	0	7	1	2
GO:0043604	GO:0009058	4	1	2	1	3
GO:0006735	GO:0006734	2	1	7	0	7
GO:0070881	GO:0032890	7	2	5	2	2
GO:1990700	GO:0006325	4	0	4	1	2
GO:0038066	GO:0000165	6	0	4	1	2
GO:1901319	GO:0009896	6	0	5	1	2
GO:0039525	GO:0019048	4	0	2	1	2
GO:0046773	GO:0039604	6	0	5	1	2
GO:0034518	GO:0140535	2	1	2	1	2
GO:0106376	GO:0106359	5	0	5	1	2
GO:0098739	GO:0098657	3	1	4	1	2
GO:0016042	GO:0009056	4	1	2	1	2
GO:0110040	GO:0009887	3	0	3	1	2
GO:0017059	GO:0002178	4	1	4	1	2
GO:0039522	GO:0039657	4	0	4	2	3
GO:0043170	GO:0008152	3	1	1	1	2
GO:0052781	GO:0052780	6	0	5	0	3
GO:0032979	GO:0051204	5	0	5	1	2
GO:0050765	GO:0045806	5	1	5	1	2
GO:0015977	GO:0008152	3	1	1	1	2
GO:0019420	GO:0000103	5	0	4	1	3
GO:0004318	GO:0016631	5	0	5	0	2
GO:1901363	GO:0036094	2	1	2	1	2
GO:0052676	GO:0046568	7	0	6	0	3
GO:0050766	GO:0045807	5	1	5	1	2
GO:0015492	GO:0005280	8	0	7	1	2
GO:0052553	GO:0052031	6	2	4	1	3
GO:0106059	GO:0016427	8	0	6	1	2
GO:0016060	GO:0016059	6	0	6	0	5
GO:0052112	GO:0052111	6	0	4	1	2
GO:0031445	GO:1902275	6	1	5	2	2
GO:0047935	GO:0047936	5	0	5	0	2
GO:0015173	GO:0046943	6	1	4	1	2
GO:0042958	GO:0042957	5	0	5	0	2
GO:0031126	GO:0031123	9	1	7	1	2
GO:0019658	GO:0019659	7	0	5	1	2
GO:0098865	GO:0044067	8	0	6	2	2
GO:0004805	GO:0050308	7	0	7	1	2
