GO_1	GO_2	GO_1_Depth	GO_1_Leaf_Distance	GO_2_Depth	GO_2_Leaf_Distance	GO_1_to_GO_2_Hops_Undirected
GO:0046155	GO:0046164	5	0	4.0	1.0	5.0
GO:1903425	GO:1901702	5	1	3.0	1.0	4.0
GO:0042070	GO:0022412	4	0	2.0	1.0	2.0
GO:0033249	GO:0031331	7	0	6.0	1.0	2.0
GO:0071285	GO:1902075	6	0	4.0	1.0	4.0
GO:0039507	GO:0039506	5	1	3.0	2.0	2.0
GO:0001545	GO:0048589	2	1	2.0	1.0	2.0
GO:0030877	GO:1902494	2	0	2.0	1.0	2.0
GO:0106274	GO:1990404	6	0	3.0	0.0	3.0
GO:0071805	GO:0098655	6	1	4.0	1.0	2.0
GO:0002941	GO:0050673	3	0	3.0	1.0	2.0
GO:0035833	GO:1901362	7	0	4.0	1.0	3.0
GO:0140462	GO:0031507	6	2	6.0	1.0	2.0
GO:0090454	GO:0042886	5	1	5.0	1.0	3.0
GO:2000278	GO:0031326	6	2	5.0	1.0	2.0
GO:1905440	GO:0071326	5	0	6.0	1.0	3.0
GO:0062208	GO:0045089	6	1	6.0	1.0	3.0
GO:0004657	GO:0016649	4	0	4.0	1.0	2.0
GO:0005254	GO:0015108	6	1	4.0	0.0	4.0
GO:0019049	GO:0019054	3	1	3.0	1.0	2.0
GO:0039693	GO:0071897	3	1	5.0	2.0	7.0
GO:1901367	GO:1902074	5	1	3.0	2.0	4.0
GO:0006739	GO:0046496	2	1	6.0	1.0	2.0
GO:1900539	GO:0019752	3	1	5.0	1.0	3.0
GO:1904214	GO:1903961	8	0	7.0	1.0	2.0
GO:0034694	GO:0033993	4	2	4.0	1.0	3.0
GO:0007610	GO:0032501	1	1	1.0	1.0	2.0
GO:0030437	GO:1903046	3	0	2.0	1.0	2.0
GO:0080162	GO:0060918	4	0	5.0	1.0	2.0
GO:1990622	GO:0005667	2	0	2.0	1.0	2.0
GO:1900082	GO:0031330	7	0	6.0	1.0	2.0
GO:0019872	GO:0044272	5	0	4.0	1.0	4.0
GO:0061136	GO:0042176	8	3	5.0	1.0	3.0
GO:0042592	GO:0008150	3	2	0.0	1.0	3.0
GO:0016469	GO:1904949	3	1	3.0	1.0	3.0
GO:0070828	GO:0006338	5	1	5.0	2.0	2.0
GO:1903781	GO:0048518	5	0	3.0	1.0	2.0
GO:1902080	GO:0051924	6	1	7.0	2.0	2.0
GO:0034355	GO:0032261	6	0	5.0	2.0	3.0
GO:0018249	GO:0036211	6	1	4.0	2.0	2.0
GO:0043799	GO:0052595	5	0	5.0	0.0	2.0
GO:0005253	GO:0008509	5	1	4.0	1.0	2.0
GO:0052542	GO:0009743	4	1	4.0	1.0	5.0
GO:0005952	GO:1902554	3	0	6.0	1.0	4.0
GO:1990469	GO:1990923	3	0	2.0	0.0	3.0
GO:0071285	GO:1901701	6	0	4.0	1.0	4.0
