id	related_id
GO:0090200	GO:0010638
GO:0061709	GO:0016236
GO:0046308	GO:0009056
GO:2000353	GO:0043065
GO:1905826	GO:0031324
GO:0042541	GO:0009059
GO:0048667	GO:0000902
GO:1900499	GO:0045937
GO:0015182	GO:0015101
GO:0009055	GO:0003674
GO:1905279	GO:0032386
GO:0039722	GO:0052029
GO:0072751	GO:1901699
GO:0042068	GO:0019222
GO:0005977	GO:0044042
GO:0043093	GO:0022413
GO:0006637	GO:0006753
GO:1905280	GO:0032387
GO:0002049	GO:0043604
GO:0071710	GO:0009059
GO:1990624	GO:0004857
GO:0031930	GO:0035556
GO:0018812	GO:0004300
GO:0061538	GO:0015807
GO:1903625	GO:0009895
GO:0050812	GO:0019219
GO:1903060	GO:0010558
GO:0005324	GO:0015245
GO:0120253	GO:0009056
GO:0140787	GO:0005315
GO:0009250	GO:0000271
GO:0009048	GO:0031507
GO:1902024	GO:0015695
GO:0046307	GO:0009058
GO:0052741	GO:0016712
GO:1901322	GO:1901698
GO:0015760	GO:0015711
GO:0033656	GO:0052008
GO:1905375	GO:1901701
GO:1900600	GO:0042180
GO:0097457	GO:0030424
GO:0046683	GO:0042221
GO:0004315	GO:0016747
GO:1902062	GO:0009056
GO:0008936	GO:0004040
GO:0070360	GO:0106259
GO:1901160	GO:0008152
GO:0140484	GO:1905039
GO:1901710	GO:0031326
GO:0098508	GO:0000902
GO:0098792	GO:0016236
GO:0000101	GO:0071705
GO:1900516	GO:0062014
GO:0000048	GO:0140101
GO:0031029	GO:0051056
GO:0050061	GO:0102673
GO:0102294	GO:0003854
GO:0062094	GO:0048856
GO:1902065	GO:1901700
GO:1900483	GO:0033157
GO:0033144	GO:1902532
GO:0015807	GO:0071705
GO:0046328	GO:0043408
GO:0009308	GO:0008152
GO:0061678	GO:0006090
GO:2000212	GO:0062014
GO:0043468	GO:0043470
GO:0061101	GO:0030182
GO:2000001	GO:0080135
GO:1990277	GO:0022414
GO:0050997	GO:0036094
GO:1905625	GO:0032891
GO:0010558	GO:0031327
GO:1904626	GO:0032892
GO:1901465	GO:0009891
GO:1900282	GO:0043470
GO:0033919	GO:0090599
GO:2000255	GO:2000242
GO:1901415	GO:0045935
GO:0033239	GO:0009892
GO:1901664	GO:0010835
GO:2001120	GO:0009058
GO:0010858	GO:0019887
GO:0039722	GO:0052170
GO:1900601	GO:0042182
GO:0052891	GO:0047606
GO:0015117	GO:0015103
GO:0097331	GO:1901698
GO:0033015	GO:0009056
GO:2000999	GO:0045913
GO:0061611	GO:0019309
GO:0070777	GO:0015810
GO:0002936	GO:0043604
GO:0071375	GO:1901699
GO:0036344	GO:0000902
GO:1901305	GO:0009890
GO:1900967	GO:0009893
GO:0140791	GO:0140789
GO:0043632	GO:0009057
GO:1902073	GO:1902533
GO:0006096	GO:0046496
GO:0034386	GO:0008483
GO:0042852	GO:0009079
GO:1900925	GO:0032892
GO:0009032	GO:0016154
GO:0072524	GO:0008152
GO:1901852	GO:0009058
GO:1900851	GO:0009891
GO:0102171	GO:0016712
GO:0006867	GO:0071705
